language,average,stdev,25th percentile,50th percentile,75th percentile
en,1.006978892420735,0.016645499545173734,1.000558833751272,1.0018429936720186,1.0060458571496373
ceb,1.001726054546521,0.0026719418380198885,1.00044198953233,1.0007082179838025,1.001910105046433
sv,1.0136447686696346,0.010534787389596212,1.0064458328642725,1.0095014072404087,1.0170498531262995
de,1.0132322794689141,0.012697470320357005,1.0077524313766006,1.0112500703129395,1.015748358680296
fr,1.0243214042939228,0.010705604081002202,1.017623833562369,1.0227693698228442,1.0289912118386257
nl,1.0031668653790853,0.009566382201839883,1.0,1.0007112767582165,1.0030971752225981
ru,1.5362439940531318,0.13453777769901054,1.4430533418768658,1.548764801181831,1.6324063872124193
es,1.0163578813408172,0.009530733511491444,1.0113636363636365,1.01507993384785,1.0188345307389823
it,1.0080072404679132,0.016410440200054895,1.002862773009046,1.0046550351433048,1.0077243018419488
pl,1.0335286794323302,0.015151186152706582,1.0233550263431908,1.031211307785843,1.0407180112406238
war,1.0013086107472136,0.003918684913327389,1.0,1.0,1.0005890213729867
vi,1.1011750989800948,0.060576255693719265,1.0638557615299962,1.086760033000874,1.1069487070053672
ja,1.843857157700553,0.29805519684166876,1.6470912088113094,1.837391181795514,2.0419838693921943
zh,1.5197244395345466,0.32275441893427953,1.2781399916288354,1.4335595180525598,1.7006110684908153
pt,1.0205119562568865,0.010475793336715637,1.014148180761728,1.018447964975279,1.023715785526809
